TOP.66b3cf76.00081c5a	START
TOP.66ba88f4.000eb1fe	user_options->bitmap_max	18
TOP.66ba88f4.000eb1fe	user_options->bitmap_min	16
TOP.66ba88f4.000eb1fe	user_options->debug_mode	0
TOP.66ba88f4.000eb1fe	user_options->hash_info	0
TOP.66ba88f4.000eb1fe	user_options->force	0
TOP.66ba88f4.000eb1fe	user_options->hwmon_disable	0
TOP.66ba88f4.000eb1fe	user_options->hwmon_temp_abort	90
TOP.66ba88f4.000eb1fe	user_options->hash_mode	0
TOP.66ba88f4.000eb1fe	user_options->hex_charset	0
TOP.66ba88f4.000eb1fe	user_options->hex_salt	0
TOP.66ba88f4.000eb1fe	user_options->hex_wordlist	0
TOP.66ba88f4.000eb1fe	user_options->hook_threads	4
TOP.66ba88f4.000eb1fe	user_options->identify	0
TOP.66ba88f4.000eb1fe	user_options->increment	0
TOP.66ba88f4.000eb1fe	user_options->increment_max	256
TOP.66ba88f4.000eb1fe	user_options->increment_min	1
TOP.66ba88f4.000eb1fe	user_options->keep_guessing	0
TOP.66ba88f4.000eb1fe	user_options->kernel_accel	0
TOP.66ba88f4.000eb1fe	user_options->kernel_loops	0
TOP.66ba88f4.000eb1fe	user_options->kernel_threads	0
TOP.66ba88f4.000eb1fe	user_options->keyspace	0
TOP.66ba88f4.000eb1fe	user_options->left	0
TOP.66ba88f4.000eb1fe	user_options->logfile_disable	0
TOP.66ba88f4.000eb1fe	user_options->loopback	0
TOP.66ba88f4.000eb1fe	user_options->machine_readable	0
TOP.66ba88f4.000eb1fe	user_options->markov_classic	0
TOP.66ba88f4.000eb1fe	user_options->markov_disable	0
TOP.66ba88f4.000eb1fe	user_options->markov_inverse	0
TOP.66ba88f4.000eb1fe	user_options->markov_threshold	256
TOP.66ba88f4.000eb1fe	user_options->multiply_accel_disable	0
TOP.66ba88f4.000eb1fe	user_options->backend_info	0
TOP.66ba88f4.000eb1fe	user_options->backend_vector_width	0
TOP.66ba88f4.000eb1fe	user_options->optimized_kernel_enable	0
TOP.66ba88f4.000eb1fe	user_options->outfile_autohex	1
TOP.66ba88f4.000eb1fe	user_options->outfile_check_timer	5
TOP.66ba88f4.000eb1fe	user_options->outfile_format	3
TOP.66ba88f4.000eb1fe	user_options->wordlist_autohex_disable	0
TOP.66ba88f4.000eb1fe	user_options->potfile_disable	0
TOP.66ba88f4.000eb1fe	user_options->progress_only	0
TOP.66ba88f4.000eb1fe	user_options->quiet	0
TOP.66ba88f4.000eb1fe	user_options->remove	0
TOP.66ba88f4.000eb1fe	user_options->remove_timer	60
TOP.66ba88f4.000eb1fe	user_options->restore	0
TOP.66ba88f4.000eb1fe	user_options->restore_disable	0
TOP.66ba88f4.000eb1fe	user_options->restore_timer	1
TOP.66ba88f4.000eb1fe	user_options->rp_files_cnt	0
TOP.66ba88f4.000eb1fe	user_options->rp_gen	0
TOP.66ba88f4.000eb1fe	user_options->rp_gen_func_max	4
TOP.66ba88f4.000eb1fe	user_options->rp_gen_func_min	1
TOP.66ba88f4.000eb1fe	user_options->rp_gen_seed	0
TOP.66ba88f4.000eb1fe	user_options->runtime	0
TOP.66ba88f4.000eb1fe	user_options->scrypt_tmto	0
TOP.66ba88f4.000eb1fe	user_options->segment_size	33554432
TOP.66ba88f4.000eb1fe	user_options->self_test_disable	0
TOP.66ba88f4.000eb1fe	user_options->slow_candidates	0
TOP.66ba88f4.000eb1fe	user_options->show	0
TOP.66ba88f4.000eb1fe	user_options->speed_only	0
TOP.66ba88f4.000eb1fe	user_options->spin_damp	0
TOP.66ba88f4.000eb1fe	user_options->status	0
TOP.66ba88f4.000eb1fe	user_options->status_json	0
TOP.66ba88f4.000eb1fe	user_options->status_timer	10
TOP.66ba88f4.000eb1fe	user_options->stdout_flag	0
TOP.66ba88f4.000eb1fe	user_options->usage	0
TOP.66ba88f4.000eb1fe	user_options->username	0
TOP.66ba88f4.000eb1fe	user_options->veracrypt_pim_start	485
TOP.66ba88f4.000eb1fe	user_options->veracrypt_pim_stop	485
TOP.66ba88f4.000eb1fe	user_options->version	0
TOP.66ba88f4.000eb1fe	user_options->workload_profile	2
TOP.66ba88f4.000eb1fe	user_options->brain_client	0
TOP.66ba88f4.000eb1fe	user_options->brain_client_features	2
TOP.66ba88f4.000eb1fe	user_options->brain_server	0
TOP.66ba88f4.000eb1fe	user_options->brain_server_timer	300
TOP.66ba88f4.000eb1fe	user_options->brain_port	6863
TOP.66ba88f4.000eb1fe	user_options->brain_session	0
TOP.66ba88f4.000eb1fe	proc_start	1723500788
TOP.66ba88f4.000eb1fe	proc_stop	1723500789
TOP.66ba88f4.000eb1fe	STOP
TOP.66ba8b86.0004cc43	START
TOP.66ba8b86.0004cc43	folder_config->cwd	C:\Users\Admin\Documents\PK SEMESTR 3\PRACA MAGISTERSKA\DISTRIBUTED CRACKING\hashcat
TOP.66ba8b86.0004cc43	folder_config->install_dir	.
TOP.66ba8b86.0004cc43	folder_config->profile_dir	.
TOP.66ba8b86.0004cc43	folder_config->session_dir	.
TOP.66ba8b86.0004cc43	folder_config->shared_dir	.
TOP.66ba8b86.0004cc43	user_options->encoding_from	utf-8
TOP.66ba8b86.0004cc43	user_options->encoding_to	utf-8
TOP.66ba8b86.0004cc43	user_options->outfile	..\output.txt
TOP.66ba8b86.0004cc43	user_options->rule_buf_l	:
TOP.66ba8b86.0004cc43	user_options->rule_buf_r	:
TOP.66ba8b86.0004cc43	user_options->session	hashcat
TOP.66ba8b86.0004cc43	user_options->separator	:
TOP.66ba8b86.0004cc43	user_options->limit	0
TOP.66ba8b86.0004cc43	user_options->skip	0
TOP.66ba8b86.0004cc43	user_options->attack_mode	0
TOP.66ba8b86.0004cc43	user_options->benchmark	0
TOP.66ba8b86.0004cc43	user_options->benchmark_all	0
TOP.66ba8b86.0004cc43	user_options->bitmap_max	18
TOP.66ba8b86.0004cc43	user_options->bitmap_min	16
TOP.66ba8b86.0004cc43	user_options->debug_mode	0
TOP.66ba8b86.0004cc43	user_options->hash_info	0
TOP.66ba8b86.0004cc43	user_options->force	0
TOP.66ba8b86.0004cc43	user_options->hwmon_disable	0
TOP.66ba8b86.0004cc43	user_options->hwmon_temp_abort	90
TOP.66ba8b86.0004cc43	user_options->hash_mode	0
TOP.66ba8b86.0004cc43	user_options->hex_charset	0
TOP.66ba8b86.0004cc43	user_options->hex_salt	0
TOP.66ba8b86.0004cc43	user_options->hex_wordlist	0
TOP.66ba8b86.0004cc43	user_options->hook_threads	4
TOP.66ba8b86.0004cc43	user_options->identify	0
TOP.66ba8b86.0004cc43	user_options->increment	0
TOP.66ba8b86.0004cc43	user_options->increment_max	256
TOP.66ba8b86.0004cc43	user_options->increment_min	1
TOP.66ba8b86.0004cc43	user_options->keep_guessing	0
TOP.66ba8b86.0004cc43	user_options->kernel_accel	0
TOP.66ba8b86.0004cc43	user_options->kernel_loops	0
TOP.66ba8b86.0004cc43	user_options->kernel_threads	0
TOP.66ba8b86.0004cc43	user_options->keyspace	0
TOP.66ba8b86.0004cc43	user_options->left	0
TOP.66ba8b86.0004cc43	user_options->logfile_disable	0
TOP.66ba8b86.0004cc43	user_options->loopback	0
TOP.66ba8b86.0004cc43	user_options->machine_readable	0
TOP.66ba8b86.0004cc43	user_options->markov_classic	0
TOP.66ba8b86.0004cc43	user_options->markov_disable	0
TOP.66ba8b86.0004cc43	user_options->markov_inverse	0
TOP.66ba8b86.0004cc43	user_options->markov_threshold	256
TOP.66ba8b86.0004cc43	user_options->multiply_accel_disable	0
TOP.66ba8b86.0004cc43	user_options->backend_info	0
TOP.66ba8b86.0004cc43	user_options->backend_vector_width	0
TOP.66ba8b86.0004cc43	user_options->optimized_kernel_enable	0
TOP.66ba8b86.0004cc43	user_options->outfile_autohex	1
TOP.66ba8b86.0004cc43	user_options->outfile_check_timer	5
TOP.66ba8b86.0004cc43	user_options->outfile_format	3
TOP.66ba8b86.0004cc43	user_options->wordlist_autohex_disable	0
TOP.66ba8b86.0004cc43	user_options->potfile_disable	0
TOP.66ba8b86.0004cc43	user_options->progress_only	0
TOP.66ba8b86.0004cc43	user_options->quiet	0
TOP.66ba8b86.0004cc43	user_options->remove	0
TOP.66ba8b86.0004cc43	user_options->remove_timer	60
TOP.66ba8b86.0004cc43	user_options->restore	0
TOP.66ba8b86.0004cc43	user_options->restore_disable	0
TOP.66ba8b86.0004cc43	user_options->restore_timer	1
TOP.66ba8b86.0004cc43	user_options->rp_files_cnt	0
TOP.66ba8b86.0004cc43	user_options->rp_gen	0
TOP.66ba8b86.0004cc43	user_options->rp_gen_func_max	4
TOP.66ba8b86.0004cc43	user_options->rp_gen_func_min	1
TOP.66ba8b86.0004cc43	user_options->rp_gen_seed	0
TOP.66ba8b86.0004cc43	user_options->runtime	0
TOP.66ba8b86.0004cc43	user_options->scrypt_tmto	0
TOP.66ba8b86.0004cc43	user_options->segment_size	33554432
TOP.66ba8b86.0004cc43	user_options->self_test_disable	0
TOP.66ba8b86.0004cc43	user_options->slow_candidates	0
TOP.66ba8b86.0004cc43	user_options->show	0
TOP.66ba8b86.0004cc43	user_options->speed_only	0
TOP.66ba8b86.0004cc43	user_options->spin_damp	0
TOP.66ba8b86.0004cc43	user_options->status	0
TOP.66ba8b86.0004cc43	user_options->status_json	0
TOP.66ba8b86.0004cc43	user_options->status_timer	10
TOP.66ba8b86.0004cc43	user_options->stdout_flag	0
TOP.66ba8b86.0004cc43	user_options->usage	0
TOP.66ba8b86.0004cc43	user_options->username	0
TOP.66ba8b86.0004cc43	user_options->veracrypt_pim_start	485
TOP.66ba8b86.0004cc43	user_options->veracrypt_pim_stop	485
TOP.66ba8b86.0004cc43	user_options->version	0
TOP.66ba8b86.0004cc43	user_options->workload_profile	2
TOP.66ba8b86.0004cc43	user_options->brain_client	0
TOP.66ba8b86.0004cc43	user_options->brain_client_features	2
TOP.66ba8b86.0004cc43	user_options->brain_server	0
TOP.66ba8b86.0004cc43	user_options->brain_server_timer	300
TOP.66ba8b86.0004cc43	user_options->brain_port	6863
TOP.66ba8b86.0004cc43	user_options->brain_session	0
TOP.66ba8b86.0004cc43	proc_start	1723501446
TOP.66ba8b86.0004cc43	proc_stop	1723501447
TOP.66ba8b86.0004cc43	STOP
TOP.66be5fcc.0002cdd8	START
TOP.66be5fcc.0002cdd8	folder_config->cwd	C:\Users\Admin\Documents\PK SEMESTR 3\PRACA MAGISTERSKA\DISTRIBUTED CRACKING\client\hashcat
TOP.66be5fcc.0002cdd8	folder_config->install_dir	.
TOP.66be5fcc.0002cdd8	folder_config->profile_dir	.
TOP.66be5fcc.0002cdd8	folder_config->session_dir	.
TOP.66be5fcc.0002cdd8	folder_config->shared_dir	.
TOP.66be5fcc.0002cdd8	user_options->encoding_from	utf-8
TOP.66be5fcc.0002cdd8	user_options->encoding_to	utf-8
TOP.66be5fcc.0002cdd8	user_options->outfile	..\output.txt
TOP.66be5fcc.0002cdd8	user_options->rule_buf_l	:
TOP.66be5fcc.0002cdd8	user_options->rule_buf_r	:
TOP.66be5fcc.0002cdd8	user_options->session	hashcat
TOP.66be5fcc.0002cdd8	user_options->separator	:
TOP.66be5fcc.0002cdd8	user_options->limit	0
TOP.66be5fcc.0002cdd8	user_options->skip	0
TOP.66be5fcc.0002cdd8	user_options->attack_mode	0
TOP.66be5fcc.0002cdd8	user_options->benchmark	0
TOP.66be5fcc.0002cdd8	user_options->benchmark_all	0
TOP.66be5fcc.0002cdd8	user_options->bitmap_max	18
TOP.66be5fcc.0002cdd8	user_options->bitmap_min	16
TOP.66be5fcc.0002cdd8	user_options->debug_mode	0
TOP.66be5fcc.0002cdd8	user_options->hash_info	0
TOP.66be5fcc.0002cdd8	user_options->force	0
TOP.66be5fcc.0002cdd8	user_options->hwmon_disable	0
TOP.66be5fcc.0002cdd8	user_options->hwmon_temp_abort	90
TOP.66be5fcc.0002cdd8	user_options->hash_mode	0
TOP.66be5fcc.0002cdd8	user_options->hex_charset	0
TOP.66be5fcc.0002cdd8	user_options->hex_salt	0
TOP.66be5fcc.0002cdd8	user_options->hex_wordlist	0
TOP.66be5fcc.0002cdd8	user_options->hook_threads	4
TOP.66be5fcc.0002cdd8	user_options->identify	0
TOP.66be5fcc.0002cdd8	user_options->increment	0
TOP.66be5fcc.0002cdd8	user_options->increment_max	256
TOP.66be5fcc.0002cdd8	user_options->increment_min	1
TOP.66be5fcc.0002cdd8	user_options->keep_guessing	0
TOP.66be5fcc.0002cdd8	user_options->kernel_accel	0
TOP.66be5fcc.0002cdd8	user_options->kernel_loops	0
TOP.66be5fcc.0002cdd8	user_options->kernel_threads	0
TOP.66be5fcc.0002cdd8	user_options->keyspace	0
TOP.66be5fcc.0002cdd8	user_options->left	0
TOP.66be5fcc.0002cdd8	user_options->logfile_disable	0
TOP.66be5fcc.0002cdd8	user_options->loopback	0
TOP.66be5fcc.0002cdd8	user_options->machine_readable	0
TOP.66be5fcc.0002cdd8	user_options->markov_classic	0
TOP.66be5fcc.0002cdd8	user_options->markov_disable	0
TOP.66be5fcc.0002cdd8	user_options->markov_inverse	0
TOP.66be5fcc.0002cdd8	user_options->markov_threshold	256
TOP.66be5fcc.0002cdd8	user_options->multiply_accel_disable	0
TOP.66be5fcc.0002cdd8	user_options->backend_info	0
TOP.66be5fcc.0002cdd8	user_options->backend_vector_width	0
TOP.66be5fcc.0002cdd8	user_options->optimized_kernel_enable	0
TOP.66be5fcc.0002cdd8	user_options->outfile_autohex	1
TOP.66be5fcc.0002cdd8	user_options->outfile_check_timer	5
TOP.66be5fcc.0002cdd8	user_options->outfile_format	3
TOP.66be5fcc.0002cdd8	user_options->wordlist_autohex_disable	0
TOP.66be5fcc.0002cdd8	user_options->potfile_disable	0
TOP.66be5fcc.0002cdd8	user_options->progress_only	0
TOP.66be5fcc.0002cdd8	user_options->quiet	0
TOP.66be5fcc.0002cdd8	user_options->remove	0
TOP.66be5fcc.0002cdd8	user_options->remove_timer	60
TOP.66be5fcc.0002cdd8	user_options->restore	0
TOP.66be5fcc.0002cdd8	user_options->restore_disable	0
TOP.66be5fcc.0002cdd8	user_options->restore_timer	1
TOP.66be5fcc.0002cdd8	user_options->rp_files_cnt	0
TOP.66be5fcc.0002cdd8	user_options->rp_gen	0
TOP.66be5fcc.0002cdd8	user_options->rp_gen_func_max	4
TOP.66be5fcc.0002cdd8	user_options->rp_gen_func_min	1
TOP.66be5fcc.0002cdd8	user_options->rp_gen_seed	0
TOP.66be5fcc.0002cdd8	user_options->runtime	0
TOP.66be5fcc.0002cdd8	user_options->scrypt_tmto	0
TOP.66be5fcc.0002cdd8	user_options->segment_size	33554432
TOP.66be5fcc.0002cdd8	user_options->self_test_disable	0
TOP.66be5fcc.0002cdd8	user_options->slow_candidates	0
TOP.66be5fcc.0002cdd8	user_options->show	0
TOP.66be5fcc.0002cdd8	user_options->speed_only	0
TOP.66be5fcc.0002cdd8	user_options->spin_damp	0
TOP.66be5fcc.0002cdd8	user_options->status	0
TOP.66be5fcc.0002cdd8	user_options->status_json	0
TOP.66be5fcc.0002cdd8	user_options->status_timer	10
TOP.66be5fcc.0002cdd8	user_options->stdout_flag	0
TOP.66be5fcc.0002cdd8	user_options->usage	0
TOP.66be5fcc.0002cdd8	user_options->username	0
TOP.66be5fcc.0002cdd8	user_options->veracrypt_pim_start	485
TOP.66be5fcc.0002cdd8	user_options->veracrypt_pim_stop	485
TOP.66be5fcc.0002cdd8	user_options->version	0
TOP.66be5fcc.0002cdd8	user_options->workload_profile	2
TOP.66be5fcc.0002cdd8	user_options->brain_client	0
TOP.66be5fcc.0002cdd8	user_options->brain_client_features	2
TOP.66be5fcc.0002cdd8	user_options->brain_server	0
TOP.66be5fcc.0002cdd8	user_options->brain_server_timer	300
TOP.66be5fcc.0002cdd8	user_options->brain_port	6863
TOP.66be5fcc.0002cdd8	user_options->brain_session	0
TOP.66be5fcc.0002cdd8	proc_start	1723752396
TOP.66be5fcc.0002cdd8	proc_stop	1723752396
TOP.66be5fcc.0002cdd8	STOP
TOP.66be5fe3.00082fc1	START
TOP.66be5fe3.00082fc1	folder_config->cwd	C:\Users\Admin\Documents\PK SEMESTR 3\PRACA MAGISTERSKA\DISTRIBUTED CRACKING\client\hashcat
TOP.66be5fe3.00082fc1	folder_config->install_dir	.
TOP.66be5fe3.00082fc1	folder_config->profile_dir	.
TOP.66be5fe3.00082fc1	folder_config->session_dir	.
TOP.66be5fe3.00082fc1	folder_config->shared_dir	.
TOP.66be5fe3.00082fc1	user_options->encoding_from	utf-8
TOP.66be5fe3.00082fc1	user_options->encoding_to	utf-8
TOP.66be5fe3.00082fc1	user_options->outfile	..\temp\output.txt
TOP.66be5fe3.00082fc1	user_options->rule_buf_l	:
TOP.66be5fe3.00082fc1	user_options->rule_buf_r	:
TOP.66be5fe3.00082fc1	user_options->session	hashcat
TOP.66be5fe3.00082fc1	user_options->separator	:
TOP.66be5fe3.00082fc1	user_options->limit	0
TOP.66be5fe3.00082fc1	user_options->skip	0
TOP.66be5fe3.00082fc1	user_options->attack_mode	0
TOP.66be5fe3.00082fc1	user_options->benchmark	0
TOP.66be5fe3.00082fc1	user_options->benchmark_all	0
TOP.66be5fe3.00082fc1	user_options->bitmap_max	18
TOP.66be5fe3.00082fc1	user_options->bitmap_min	16
TOP.66be5fe3.00082fc1	user_options->debug_mode	0
TOP.66be5fe3.00082fc1	user_options->hash_info	0
TOP.66be5fe3.00082fc1	user_options->force	0
TOP.66be5fe3.00082fc1	user_options->hwmon_disable	0
TOP.66be5fe3.00082fc1	user_options->hwmon_temp_abort	90
TOP.66be5fe3.00082fc1	user_options->hash_mode	0
TOP.66be5fe3.00082fc1	user_options->hex_charset	0
TOP.66be5fe3.00082fc1	user_options->hex_salt	0
TOP.66be5fe3.00082fc1	user_options->hex_wordlist	0
TOP.66be5fe3.00082fc1	user_options->hook_threads	4
TOP.66be5fe3.00082fc1	user_options->identify	0
TOP.66be5fe3.00082fc1	user_options->increment	0
TOP.66be5fe3.00082fc1	user_options->increment_max	256
TOP.66be5fe3.00082fc1	user_options->increment_min	1
TOP.66be5fe3.00082fc1	user_options->keep_guessing	0
TOP.66be5fe3.00082fc1	user_options->kernel_accel	0
TOP.66be5fe3.00082fc1	user_options->kernel_loops	0
TOP.66be5fe3.00082fc1	user_options->kernel_threads	0
TOP.66be5fe3.00082fc1	user_options->keyspace	0
TOP.66be5fe3.00082fc1	user_options->left	0
TOP.66be5fe3.00082fc1	user_options->logfile_disable	0
TOP.66be5fe3.00082fc1	user_options->loopback	0
TOP.66be5fe3.00082fc1	user_options->machine_readable	0
TOP.66be5fe3.00082fc1	user_options->markov_classic	0
TOP.66be5fe3.00082fc1	user_options->markov_disable	0
TOP.66be5fe3.00082fc1	user_options->markov_inverse	0
TOP.66be5fe3.00082fc1	user_options->markov_threshold	256
TOP.66be5fe3.00082fc1	user_options->multiply_accel_disable	0
TOP.66be5fe3.00082fc1	user_options->backend_info	0
TOP.66be5fe3.00082fc1	user_options->backend_vector_width	0
TOP.66be5fe3.00082fc1	user_options->optimized_kernel_enable	0
TOP.66be5fe3.00082fc1	user_options->outfile_autohex	1
TOP.66be5fe3.00082fc1	user_options->outfile_check_timer	5
TOP.66be5fe3.00082fc1	user_options->outfile_format	3
TOP.66be5fe3.00082fc1	user_options->wordlist_autohex_disable	0
TOP.66be5fe3.00082fc1	user_options->potfile_disable	0
TOP.66be5fe3.00082fc1	user_options->progress_only	0
TOP.66be5fe3.00082fc1	user_options->quiet	0
TOP.66be5fe3.00082fc1	user_options->remove	0
TOP.66be5fe3.00082fc1	user_options->remove_timer	60
TOP.66be5fe3.00082fc1	user_options->restore	0
TOP.66be5fe3.00082fc1	user_options->restore_disable	0
TOP.66be5fe3.00082fc1	user_options->restore_timer	1
TOP.66be5fe3.00082fc1	user_options->rp_files_cnt	0
TOP.66be5fe3.00082fc1	user_options->rp_gen	0
TOP.66be5fe3.00082fc1	user_options->rp_gen_func_max	4
TOP.66be5fe3.00082fc1	user_options->rp_gen_func_min	1
TOP.66be5fe3.00082fc1	user_options->rp_gen_seed	0
TOP.66be5fe3.00082fc1	user_options->runtime	0
TOP.66be5fe3.00082fc1	user_options->scrypt_tmto	0
TOP.66be5fe3.00082fc1	user_options->segment_size	33554432
TOP.66be5fe3.00082fc1	user_options->self_test_disable	0
TOP.66be5fe3.00082fc1	user_options->slow_candidates	0
TOP.66be5fe3.00082fc1	user_options->show	0
TOP.66be5fe3.00082fc1	user_options->speed_only	0
TOP.66be5fe3.00082fc1	user_options->spin_damp	0
TOP.66be5fe3.00082fc1	user_options->status	0
TOP.66be5fe3.00082fc1	user_options->status_json	0
TOP.66be5fe3.00082fc1	user_options->status_timer	10
TOP.66be5fe3.00082fc1	user_options->stdout_flag	0
TOP.66be5fe3.00082fc1	user_options->usage	0
TOP.66be5fe3.00082fc1	user_options->username	0
TOP.66be5fe3.00082fc1	user_options->veracrypt_pim_start	485
TOP.66be5fe3.00082fc1	user_options->veracrypt_pim_stop	485
TOP.66be5fe3.00082fc1	user_options->version	0
TOP.66be5fe3.00082fc1	user_options->workload_profile	2
TOP.66be5fe3.00082fc1	user_options->brain_client	0
TOP.66be5fe3.00082fc1	user_options->brain_client_features	2
TOP.66be5fe3.00082fc1	user_options->brain_server	0
TOP.66be5fe3.00082fc1	user_options->brain_server_timer	300
TOP.66be5fe3.00082fc1	user_options->brain_port	6863
TOP.66be5fe3.00082fc1	user_options->brain_session	0
TOP.66be5fe3.00082fc1	proc_start	1723752419
TOP.66be5fe3.00082fc1	proc_stop	1723752420
TOP.66be5fe3.00082fc1	STOP
TOP.66be6ac9.000ee3da	START
TOP.66be6ac9.000ee3da	folder_config->cwd	C:\Users\Admin\Documents\PK SEMESTR 3\PRACA MAGISTERSKA\DISTRIBUTED CRACKING\client\hashcat
TOP.66be6ac9.000ee3da	folder_config->install_dir	.
TOP.66be6ac9.000ee3da	folder_config->profile_dir	.
TOP.66be6ac9.000ee3da	folder_config->session_dir	.
TOP.66be6ac9.000ee3da	folder_config->shared_dir	.
TOP.66be6ac9.000ee3da	user_options->custom_charset_1	?l?d?u
TOP.66be6ac9.000ee3da	user_options->encoding_from	utf-8
TOP.66be6ac9.000ee3da	user_options->encoding_to	utf-8
TOP.66be6ac9.000ee3da	user_options->outfile	..\temp\output.txt
TOP.66be6ac9.000ee3da	user_options->rule_buf_l	:
TOP.66be6ac9.000ee3da	user_options->rule_buf_r	:
TOP.66be6ac9.000ee3da	user_options->session	hashcat
TOP.66be6ac9.000ee3da	user_options->separator	:
TOP.66be6ac9.000ee3da	user_options->limit	0
TOP.66be6ac9.000ee3da	user_options->skip	0
TOP.66be6ac9.000ee3da	user_options->attack_mode	3
TOP.66be6ac9.000ee3da	user_options->benchmark	0
TOP.66be6ac9.000ee3da	user_options->benchmark_all	0
TOP.66be6ac9.000ee3da	user_options->bitmap_max	18
TOP.66be6ac9.000ee3da	user_options->bitmap_min	16
TOP.66be6ac9.000ee3da	user_options->debug_mode	0
TOP.66be6ac9.000ee3da	user_options->hash_info	0
TOP.66be6ac9.000ee3da	user_options->force	0
TOP.66be6ac9.000ee3da	user_options->hwmon_disable	0
TOP.66be6ac9.000ee3da	user_options->hwmon_temp_abort	90
TOP.66be6ac9.000ee3da	user_options->hash_mode	0
TOP.66be6ac9.000ee3da	user_options->hex_charset	0
TOP.66be6ac9.000ee3da	user_options->hex_salt	0
TOP.66be6ac9.000ee3da	user_options->hex_wordlist	0
TOP.66be6ac9.000ee3da	user_options->hook_threads	4
TOP.66be6ac9.000ee3da	user_options->identify	0
TOP.66be6ac9.000ee3da	user_options->increment	0
TOP.66be6ac9.000ee3da	user_options->increment_max	256
TOP.66be6ac9.000ee3da	user_options->increment_min	1
TOP.66be6ac9.000ee3da	user_options->keep_guessing	0
TOP.66be6ac9.000ee3da	user_options->kernel_accel	0
TOP.66be6ac9.000ee3da	user_options->kernel_loops	0
TOP.66be6ac9.000ee3da	user_options->kernel_threads	0
TOP.66be6ac9.000ee3da	user_options->keyspace	0
TOP.66be6ac9.000ee3da	user_options->left	0
TOP.66be6ac9.000ee3da	user_options->logfile_disable	0
TOP.66be6ac9.000ee3da	user_options->loopback	0
TOP.66be6ac9.000ee3da	user_options->machine_readable	0
TOP.66be6ac9.000ee3da	user_options->markov_classic	0
TOP.66be6ac9.000ee3da	user_options->markov_disable	0
TOP.66be6ac9.000ee3da	user_options->markov_inverse	0
TOP.66be6ac9.000ee3da	user_options->markov_threshold	256
TOP.66be6ac9.000ee3da	user_options->multiply_accel_disable	0
TOP.66be6ac9.000ee3da	user_options->backend_info	0
TOP.66be6ac9.000ee3da	user_options->backend_vector_width	0
TOP.66be6ac9.000ee3da	user_options->optimized_kernel_enable	0
TOP.66be6ac9.000ee3da	user_options->outfile_autohex	1
TOP.66be6ac9.000ee3da	user_options->outfile_check_timer	5
TOP.66be6ac9.000ee3da	user_options->outfile_format	3
TOP.66be6ac9.000ee3da	user_options->wordlist_autohex_disable	0
TOP.66be6ac9.000ee3da	user_options->potfile_disable	0
TOP.66be6ac9.000ee3da	user_options->progress_only	0
TOP.66be6ac9.000ee3da	user_options->quiet	0
TOP.66be6ac9.000ee3da	user_options->remove	0
TOP.66be6ac9.000ee3da	user_options->remove_timer	60
TOP.66be6ac9.000ee3da	user_options->restore	0
TOP.66be6ac9.000ee3da	user_options->restore_disable	0
TOP.66be6ac9.000ee3da	user_options->restore_timer	1
TOP.66be6ac9.000ee3da	user_options->rp_files_cnt	0
TOP.66be6ac9.000ee3da	user_options->rp_gen	0
TOP.66be6ac9.000ee3da	user_options->rp_gen_func_max	4
TOP.66be6ac9.000ee3da	user_options->rp_gen_func_min	1
TOP.66be6ac9.000ee3da	user_options->rp_gen_seed	0
TOP.66be6ac9.000ee3da	user_options->runtime	0
TOP.66be6ac9.000ee3da	user_options->scrypt_tmto	0
TOP.66be6ac9.000ee3da	user_options->segment_size	33554432
TOP.66be6ac9.000ee3da	user_options->self_test_disable	0
TOP.66be6ac9.000ee3da	user_options->slow_candidates	0
TOP.66be6ac9.000ee3da	user_options->show	0
TOP.66be6ac9.000ee3da	user_options->speed_only	0
TOP.66be6ac9.000ee3da	user_options->spin_damp	0
TOP.66be6ac9.000ee3da	user_options->status	0
TOP.66be6ac9.000ee3da	user_options->status_json	0
TOP.66be6ac9.000ee3da	user_options->status_timer	10
TOP.66be6ac9.000ee3da	user_options->stdout_flag	0
TOP.66be6ac9.000ee3da	user_options->usage	0
TOP.66be6ac9.000ee3da	user_options->username	0
TOP.66be6ac9.000ee3da	user_options->veracrypt_pim_start	485
TOP.66be6ac9.000ee3da	user_options->veracrypt_pim_stop	485
TOP.66be6ac9.000ee3da	user_options->version	0
TOP.66be6ac9.000ee3da	user_options->workload_profile	2
TOP.66be6ac9.000ee3da	user_options->brain_client	0
TOP.66be6ac9.000ee3da	user_options->brain_client_features	2
TOP.66be6ac9.000ee3da	user_options->brain_server	0
TOP.66be6ac9.000ee3da	user_options->brain_server_timer	300
TOP.66be6ac9.000ee3da	user_options->brain_port	6863
TOP.66be6ac9.000ee3da	user_options->brain_session	0
TOP.66be6ac9.000ee3da	hashes->hashfile	..\temp\hash.txt
TOP.66be6ac9.000ee3da	hashes->hashlist_mode	5
TOP.66be6ac9.000ee3da	hashes->hashlist_format	0
TOP.66be6ac9.000ee3da	hashes->hashes_cnt	0
TOP.66be6ac9.000ee3da	hashes->digests_cnt	1
TOP.66be6ac9.000ee3da	hashes->digests_done_pot	0
TOP.66be6ac9.000ee3da	hashes->digests_done_zero	0
TOP.66be6ac9.000ee3da	hashes->digests_done	0
TOP.66be6ac9.000ee3da	hashes->salts_cnt	1
TOP.66be6ac9.000ee3da	hashes->salts_done	0
TOP.66be6ac9.000ee3da	SUB.66be6ad3.00044e96	START
